"movie_id","movie_title","original_language","overview","production_countries","year_released"
"land-of-promise-1946","Land of Promise","en","Described as a 'film argument' about homes and houses, this film is in three parts showing houses as they were, houses as they are and houses as they might be.","[""United Kingdom""]","1946"
"skid-row-oh-say-can-you-scream","Skid Row: Oh Say Can You Scream","en","Oh Say Can You Scream is a VHS video of live performances by Skid Row featuring songs from the band's self-titled debut album. It was released on December 4, 1990. The video includes 12 live performances from all over the world plus uncensored clips of ""18 and Life"", ""Youth Gone Wild"", ""I Remember You"", and ""Piece of Me"".
 Big Guns / Makin' a Mess / Rattlesnake Shake / Piece of Me / Sweet Little Sister / I Remember You / Cold Gin / Here I Am / Holidays in the Sun / Train Kept A-Rollin' / Blitzkrieg Bop / Youth Gone Wild","[]","1990"
"dangerous-heart","Dangerous Heart","en","A cop begins to turn to booze and cocaine during a tough undercover assignment. When a big drug-buy goes sour and the cop ends up with a million in cash, he decides to take off with the money. The drug dealer catches up with him, but he dies before revealing where he stashed the cash. Months later, the drug dealer finds the cop's wife and seduces her, in an effort to find his missing million. In the process, he falls in love with her and alienates his former partners in crime.","[""United States of America""]","1994"
"kiss-n-tell-romance-in-the-23rd-century","Kiss 'N' Tell: Romance in the 23rd Century","en","The love in Star trek","[""United States of America""]","2004"
"replica-2005","Replica","en","Suffering from kidney failure, Joe, a computer chip salesman goes through an organ transplant administered by Dr. Evelyn Tyler who is a biogeneticist for Therapeutic Technology located at 1 DNA Drive. Joe is not only grateful for his new kidney, but he becomes interested and obsessed in Dr. Tyler who shows him the world of miraculous, amazing and wonderful biotechnology. But this seemingly technological panacea is also filled with uncertainty, danger and dilemma that changes their lives forever.","[""United States of America""]","2005"
"jaula","Jaula","en","Sometimes, everyday moments can turn into nightmares.","[]","null"
"lappel","The Call","fr","Benoît, 50, is a police lieutenant wounded by the disappearance of his wife, Lise. Unable to perform his grief, he sees his physical and mental health decline when she mysteriously surface again years later.","[""France"",""Spain""]","2015"
"bajo-tierra","Bajo tierra","es","Two young men are preparing to cross the border between Mexico and the United States.","[""Mexico""]","2009"
"felicite-remix-1-billard-luxury-palace","Félicité Remix #1: Billard Luxury Palace","en","First of a triptych of shorts using, reusing, misusing unused and behind-the-scenes footage from Félicité.","[""Congo"",""Congo"",""France""]","2017"
"the-book-of-ruth-journey-of-faith","The Book of Ruth: Journey of Faith","en","The Book of Ruth, is a triumphant love story in the face of adversity. This selfless journey of love and devotion is seen through the eyes of a young widow. Choosing to leave her homeland of Moab, she follows her mother-in-law Naomi to Israel after the death of her husband. Upon reaching Bethlehem, she meets and marries a man named Boaz, who is of the Royal House of Judah. This chain of seemingly unrelated events, sets the stage for the future kings of the nation of Israel, and the glorious coming of the Messiah. A Biblical Cinderella story from the archives of the royal Jewish bloodline, this story reveals the redemption of their inheritance through the child Obed, who was the grandfather of King David.","[]","2009"
"the-suspect-1999","The Suspect","pt","A train compartment, four people, a ticket collector, a Barcelos penknife and a potential assassin. Will they all make it to the end of the journey?","[""Portugal""]","1999"
"fly-by-night-2018","Fly By Night","zh","Unfolding the life of a taxi driver that uses his services as a front for extortion rackets and other criminal activities. When his hot-headed younger brother's impulsive behaviour lead the cops and triad to their doorstep. As the eldest, he stops at nothing to protect them all.","[""Malaysia""]","2018"
"the-eve-of-ivan-kupalo","The Eve of Ivan Kupalo","uk","Petro is a modest farmhand living in an impoverished village in some unspecified long-ago era. He wants to marry the lovely Pidorka, but her stern father won't hear of it. The mischievous demon Basavriuk, offers a deal, enticing Petro into crime for the sake of fortune. Based on Nikolai Gogol’s short story “The Eve of Ivan Kupala” (“St John’s Eve”) and Ukrainian folk tales.","[""Soviet Union""]","1968"
"daume","Daumë","en","Culled from four rolls of Super-8 film shot while the maker was a development worker in a small South American village, Daumë is at its center a film about ritual, power, and play. Daumë is both ethnography and critique; it is an interrogation into how to represent a place that can't be represented.","[""United States of America""]","2000"
"the-siamese-bond","The Siamese Bond","es","Stella and her mother Clota must travel from Junín, where they live, to the town of Costa Bonita, in Necochea, to see some apartments that Stella's father left her. This will become a nuisance for Stella, since her mother is someone difficult to deal with: she complains, she is afraid of everything, she says hurtful things and she keeps remembering the past. Paula Hernández's new film narrates the journey by bus of these two characters, a simple premise for a film almost always in tension as its two protagonists, brilliantly played by Valeria Lois and Rita Cortese. The only respite for poor Stella, and for the film itself, are conversations she has with Primo (Sergio Prina), one of the bus drivers, moments of calm amidst so much storm that, later on, will become literal.","[""Argentina""]","2020"
"mansion-of-blood","Mansion of Blood","en","Millionaire Mason Murphy renovates the haunted Mayhew mansion. He plans a tremendous lunar eclipse viewing party to celebrate his return to his hometown of River Ridge Iowa. At the party, magic runs out of control and the party guests are murdered one by one.","[]","2015"
"ring-of-spies","Ring of Spies","en","The film is based on the actual events of the Portland Spy Ring trial in the U.K. A disgruntled Navy Clerk is transferred to a secret research establishment and is subsequently black-mailed/paid by Czech intelligence to procure secrets for them. He seduces the secretary who controls the most secret documents, and they enjoy the fruits of their treachery until the British authorities begin to close in on them.","[""United Kingdom""]","1964"
"the-art-of-mccartney","The Art of McCartney","en","An inside look at the making of The Art Of McCartney album on which some of the world's greatest artists interpret the songs of one of the world's greatest songwriters, Paul McCartney.","[]","2014"
